# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       15.953      113.328
       0.108      138.300       15.512      112.809
       0.219      136.100       15.629      112.938
       0.328      146.100       15.629      112.938
       0.440      142.800       15.629      112.938
       0.550      136.700       15.629      112.938
       0.659      127.800       15.629      112.938
       0.771      134.900       15.629      112.938
       0.882      144.200       16.109      113.512
       0.993      125.900       16.109      113.512
       1.104      144.500       16.109      113.512
       1.214      145.100       16.109      113.512
       1.323      137.800       16.129      113.512
       1.432      146.100       16.129      113.512
       1.542      136.400       16.137      113.512
       1.651      146.700       16.137      113.512
       1.761      137.300       16.141      113.512
       1.870      146.100       16.141      113.512
       1.980      136.600       16.141      113.512
       2.091      135.600       16.141      113.512
       2.201      145.000       16.141      113.512
       2.310      146.100       16.141      113.512
       2.421      136.000       16.141      113.512
       2.533      133.400       16.141      113.512
       2.643      155.000       16.141      113.512
       2.753      136.700       16.141      113.512
       2.863      145.400       16.141      113.512
       2.972      146.400       16.141      113.512
       3.082      145.400       16.141      113.512
       3.192      136.200       16.141      113.512
       3.303      144.700       16.141      113.512
       3.413      145.100       16.141      113.512
       3.522      146.700       16.141      113.512
       3.632      136.200       16.152      113.512
       3.742      135.900       16.152      113.512
       3.852      145.800       16.152      113.512
       3.961      147.100       16.152      113.512
       4.071      136.700       16.152      113.512
       4.180      146.100       16.152      113.512
       4.291      135.500       16.152      113.512
       4.402      144.300       16.152      113.512
       4.512      145.100       16.152      113.512
       4.623      144.500       16.152      113.512
       4.733      136.500       16.152      113.512
       4.842      136.700       16.152      113.512
       4.953      154.000       16.152      113.512
       5.062      136.800       16.152      113.512
       5.171      147.100       16.152      113.512
       5.281      136.800       16.152      113.512
       5.390      146.800       16.152      113.512
       5.499      146.800       16.152      113.512
       5.608      137.600       16.152      113.512
       5.717      146.000       16.152      113.512
       5.826      137.900       16.152      113.512
       5.936      145.600       16.152      113.512
       6.045      137.300       16.152      113.512
       6.154      155.800       16.152      113.512
       6.264      145.600       16.152      113.512
       6.373      128.300       16.152      113.512
       6.483      155.300       16.152      113.512
       6.592      137.200       16.152      113.512
       6.702      145.700       16.152      113.512
       6.811      138.000       16.152      113.512
       6.920      146.600       16.152      113.512
       7.030      136.700       16.152      113.512
       7.140      145.500       16.152      113.512
       7.249      145.700       16.152      113.512
       7.360      145.000       16.152      113.512
       7.469      137.500       16.152      113.512
       7.580      153.200       16.152      113.512
       7.689      127.800       16.152      113.512
       7.799      146.400       16.152      113.512
       7.908      146.100       16.152      113.512
       8.018      146.100       16.184      113.512
       8.127      137.400       16.184      113.512
       8.238      144.100       16.184      113.512
       8.348      145.800       16.184      113.512
       8.457      137.300       16.184      113.512
       8.566      145.900       16.184      113.512
       8.677      135.100       16.184      113.512
       8.787      146.300       16.184      113.512
       8.896      146.100       16.184      113.512
       9.005      137.800       16.184      113.512
       9.115      146.100       16.184      113.512
       9.225      145.500       16.184      113.512
       9.335      145.500       16.184      113.512
       9.444      146.300       16.184      113.512
       9.554      145.900       16.184      113.512
       9.663      136.900       16.184      113.512
       9.773      145.900       16.184      113.512
