# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       15.531    16418.730
       0.101       99.500      669.531    16418.730
       0.201       99.500     1547.531    16418.730
       0.301       99.600     2381.531    16418.730
       0.402       99.600     3251.531    16418.730
       0.502       99.500     4059.531    16418.730
       0.603       99.500     4925.531    16418.730
       0.703       99.300     5697.531    16418.730
       0.805       89.000     6475.531    16418.730
       0.905      109.500     7327.531    16418.730
       1.006       99.600     8133.531    16418.730
       1.106       99.500     9017.531    16418.730
       1.207       99.200     9841.531    16418.730
       1.308       99.300    10619.531    16418.730
       1.408       99.500    11447.531    16418.730
       1.509       99.600    11785.855    16418.730
       1.609       99.600    12042.551    16418.730
       1.709       89.600    12300.645    16418.730
       1.810      109.500    12570.125    16418.730
       1.910       99.600    12833.328    16418.730
       2.011       99.600    13092.238    16418.730
       2.111       99.600    13359.445    16418.730
       2.211       89.700    13621.148    16418.730
       2.312       99.600    13890.781    16418.730
       2.412      109.600    14158.207    16418.730
       2.512       89.700    14483.977    16418.730
       2.613       99.600    14754.492    16418.730
       2.713       99.400    14994.742    16418.730
       2.814       99.500    15256.668    16418.730
       2.914       99.600    15525.531    16418.730
       3.015       99.700    15776.859    16418.730
       3.115       99.500    16049.848    16418.730
       3.216       99.600    16314.059    16418.730
       3.316       99.700    16391.148    16418.730
       3.416       99.600    16391.148    16418.730
       3.517       99.700    16391.148    16418.730
       3.617       99.700    16391.148    16418.730
       3.717       99.600    16391.148    16418.730
       3.818       99.700    16391.148    16418.730
       3.918       99.600    16391.148    16418.730
       4.018       99.600    16391.148    16418.730
       4.119       99.700    16391.148    16418.730
       4.219       99.700    16391.148    16418.730
       4.319       99.700    16391.148    16418.730
       4.420       99.600    16391.148    16418.730
       4.520       99.700    16391.148    16418.730
       4.620       99.600    16391.148    16418.730
       4.721       99.600    16391.148    16418.730
       4.821       99.600    16391.148    16418.730
       4.922       99.700    16391.148    16418.730
       5.022       89.700    16391.148    16418.730
       5.122      109.600    16391.148    16418.730
       5.223       89.700    16391.148    16418.730
       5.323      109.500    16391.148    16418.730
       5.423       99.600    16391.148    16418.730
       5.524       89.700    16391.148    16418.730
       5.624      109.600    16391.148    16418.730
       5.724       89.700    16391.148    16418.730
       5.825       99.600    16391.148    16418.730
       5.925       99.600    16391.148    16418.730
       6.026       99.600    16391.148    16418.730
       6.126       99.400    16391.148    16418.730
       6.227       99.700    16391.148    16418.730
       6.327      109.600    16391.148    16418.730
       6.427       99.600    16391.148    16418.730
       6.528       99.600    16391.148    16418.730
       6.628       99.600    16391.148    16418.730
       6.728       99.600    16391.148    16418.730
       6.829       99.600    16391.148    16418.730
       6.929       99.600    16391.148    16418.730
