# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.754       59.988
       0.100      209.300       12.609       63.812
       0.201      338.900       12.625       63.812
       0.301      398.700       12.820       63.812
       0.401      398.700       13.062       63.812
       0.502      398.800       13.090       63.812
       0.602      398.700       13.465       64.199
       0.702      408.700       14.598       65.359
       0.803      388.800       15.312       66.137
       0.903      398.800       15.637       66.402
       1.003      398.900       18.383       69.234
       1.104      398.700       23.395       74.332
       1.204      398.700       31.031       81.938
       1.304      398.700       39.531       90.410
       1.405      398.600       48.289       99.281
       1.505      398.700       57.055      107.992
       1.605      398.700       67.469      118.301
       1.705      398.700       78.059      128.914
       1.806      388.700       90.016      140.848
       1.906      408.700      101.195      152.027
       2.006      398.800      110.672      161.504
       2.107      398.800      111.059      161.891
       2.207      398.700      111.445      162.277
       2.307      398.800      111.828      162.660
       2.408      398.800      112.023      162.855
       2.508      398.800      112.602      163.434
       2.608      398.700      112.602      163.434
