# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       44.719       95.551
       0.109      404.000       44.719       95.551
       0.219      391.200       44.719       95.551
       0.329      400.700       44.719       95.551
       0.439      399.100       44.719       95.551
       0.549      399.200       44.719       95.551
       0.659      392.000       44.719       95.551
       0.768      401.300       45.219       96.051
       0.878      393.000       45.219       96.051
       0.988      407.300       45.219       96.051
       1.098      392.700       45.219       96.051
       1.207      401.300       45.219       96.051
       1.318      398.700       45.219       96.051
       1.428      397.300       45.219       96.051
       1.540      394.800       45.219       96.051
       1.651      396.100       45.219       96.051
       1.761      401.500       45.219       96.051
       1.870      401.300       45.219       96.051
       1.981      398.900       45.219       96.051
       2.090      391.600       45.219       96.051
       2.201      399.800       45.219       96.051
       2.311      398.900       45.219       96.051
       2.421      399.800       45.219       96.051
       2.531      399.800       45.219       96.051
       2.641      399.000       45.219       96.051
       2.752      398.500       45.219       96.051
       2.861      401.500       45.219       96.051
       2.971      391.400       45.219       96.051
       3.082      395.800       45.219       96.051
       3.193      397.300       45.219       96.051
       3.303      400.800       45.219       96.051
       3.414      396.500       45.219       96.051
       3.523      400.900       45.219       96.051
       3.634      398.000       45.219       96.051
       3.745      397.500       45.219       96.051
       3.854      401.000       45.219       96.051
       3.965      396.500       45.219       96.051
       4.075      401.200       45.219       96.051
       4.185      399.300       45.219       96.051
       4.297      395.400       45.219       96.051
       4.406      401.800       45.219       96.051
       4.516      392.300       45.219       96.051
       4.628      401.000       45.219       96.051
       4.738      391.900       45.219       96.051
       4.848      398.300       45.219       96.051
       4.961      398.900       45.219       96.051
       5.070      401.700       45.219       96.051
       5.180      392.800       45.219       96.051
       5.290      399.600       45.219       96.051
       5.400      401.200       45.219       96.051
       5.509      401.200       45.219       96.051
       5.620      397.300       45.219       96.051
       5.730      400.400       45.219       96.051
       5.840      391.800       45.219       96.051
       5.950      397.500       45.219       96.051
       6.060      401.600       45.219       96.051
       6.170      392.300       45.219       96.051
       6.280      407.200       45.219       96.051
       6.390      391.100       45.219       96.051
       6.501      397.500       45.219       96.051
       6.612      395.800       45.219       96.051
       6.722      400.900       45.219       96.051
       6.832      397.700       45.219       96.051
       6.942      401.500       45.219       96.051
       7.051      392.200       45.219       96.051
       7.162      407.300       45.219       96.051
       7.272      401.200       45.219       96.051
       7.382      396.900       45.219       96.051
       7.493      397.400       45.219       96.051
       7.603      400.200       45.219       96.051
       7.713      390.400       45.219       96.051
       7.823      400.900       45.219       96.051
       7.933      392.400       45.219       96.051
       8.043      399.100       45.219       96.051
       8.153      400.600       45.219       96.051
       8.263      398.100       45.219       96.051
