# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.684       59.957
       0.100      378.900       12.406       63.613
       0.201      398.700       13.309       64.164
       0.301      398.800       18.547       69.422
       0.401      398.800       28.309       79.156
       0.502      398.700       37.598       88.445
       0.602      398.800       37.984       88.832
       0.702      388.800       38.867       89.715
       0.803      408.700       39.062       89.910
       0.903      388.800       39.062       89.910
       1.003      398.800       39.062       89.910
       1.103      398.700       39.062       89.910
       1.204      398.700       39.062       89.910
       1.304      398.800       39.062       89.910
       1.404      388.700       39.062       89.910
       1.505      408.600       39.062       89.910
       1.605      398.800       39.062       89.910
       1.705      398.800       39.062       89.910
       1.806      399.000       39.062       89.910
       1.906      398.700       39.062       89.910
       2.006      398.800       39.062       89.910
       2.107      398.800       39.062       89.910
       2.207      398.800       39.062       89.910
       2.307      388.800       39.062       89.910
       2.407      408.700       39.062       89.910
       2.508      388.800       39.062       89.910
       2.608      398.800       39.062       89.910
       2.708      398.600       39.062       89.910
       2.809      398.600       39.062       89.910
       2.909      398.700       39.062       89.910
       3.009      398.700       39.062       89.910
       3.110      388.600       39.062       89.910
       3.210      398.600       39.062       89.910
       3.310      398.700       39.062       89.910
       3.411      398.700       39.062       89.910
       3.511      398.800       39.062       89.910
       3.611      398.800       39.062       89.910
       3.712      398.800       39.062       89.910
       3.812      398.800       39.062       89.910
       3.912      398.800       39.062       89.910
       4.013      398.800       39.062       89.910
       4.113      388.800       39.062       89.910
       4.213      398.700       39.062       89.910
       4.314      398.700       39.062       89.910
       4.414      398.800       39.062       89.910
       4.514      398.800       39.062       89.910
       4.614      398.700       39.062       89.910
       4.715      398.700       39.062       89.910
       4.815      398.800       39.062       89.910
       4.915      398.700       39.062       89.910
       5.016      397.600       39.062       89.910
       5.116      398.400       39.062       89.910
       5.217      398.600       39.062       89.910
       5.317      388.700       39.062       89.910
       5.417      398.800       39.062       89.910
       5.518      398.800       39.062       89.910
       5.618      398.800       39.062       89.910
       5.718      398.800       39.062       89.910
       5.819      398.700       39.062       89.910
       5.919      398.700       39.062       89.910
       6.019      398.800       39.062       89.910
       6.120      398.800       39.062       89.910
       6.220      398.800       39.062       89.910
       6.320      398.800       39.062       89.910
       6.421      398.800       39.062       89.910
       6.521      388.800       39.062       89.910
       6.621      398.800       39.062       89.910
       6.721      398.800       39.062       89.910
       6.822      398.700       39.062       89.910
       6.922      398.600       39.062       89.910
       7.022      398.800       39.062       89.910
       7.123      398.800       39.062       89.910
       7.223      398.800       39.062       89.910
       7.323      388.800       39.062       89.910
       7.424      398.800       39.062       89.910
       7.524      398.700       39.062       89.910
       7.624      398.800       39.062       89.910
       7.725      398.700       39.062       89.910
       7.825      398.700       39.062       89.910
       7.925      398.800       39.062       89.910
       8.026      398.700       39.062       89.910
       8.126      398.800       39.062       89.910
       8.226      388.800       39.062       89.910
       8.326      408.700       39.062       89.910
       8.427      388.800       39.062       89.910
       8.527      398.800       39.062       89.910
       8.627      398.800       39.062       89.910
       8.728      398.600       39.062       89.910
       8.828      398.800       39.062       89.910
       8.928      388.800       39.062       89.910
       9.029      398.500       39.062       89.910
       9.129      398.600       39.062       89.910
       9.229      398.700       39.062       89.910
       9.330      398.700       39.062       89.910
       9.430      398.700       39.062       89.910
       9.530      388.800       39.062       89.910
       9.631      398.700       39.062       89.910
       9.731      398.700       39.062       89.910
       9.831      398.800       39.062       89.910
       9.932      398.800       39.062       89.910
      10.032      398.800       39.062       89.910
      10.132      398.800       39.062       89.910
      10.233      398.700       39.062       89.910
