# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       11.406      701.016
       0.011        0.000        3.594      223.566
       0.022        0.000        3.781      223.664
       0.033        0.000        4.746      228.438
       0.043        0.000        5.656      447.328
       0.054       91.500        5.855      447.328
       0.066        0.000        7.785      670.992
       0.077        0.000        5.797      447.336
       0.088        0.000        3.793      223.664
       0.099        0.000        8.539      673.332
       0.111        0.000        5.215      445.172
       0.122        0.000        7.801      671.387
       0.133        0.000        4.969      225.930
       0.145        0.000        3.793      223.664
       0.157        0.000        5.801      447.336
       0.168        0.000        3.793      223.664
       0.180        0.000        7.797      670.992
       0.191        0.000        3.797      223.664
       0.203        0.000        3.805      223.664
       0.215        0.000        3.820      223.793
       0.226        0.000        3.836      223.793
       0.238       88.200        3.867      223.793
       0.249        0.000        3.875      223.793
       0.261        0.000        3.875      223.793
       0.273        0.000        3.875      223.793
       0.285        0.000        6.801      448.602
       0.296        0.000        3.879      223.793
       0.308       83.700        3.887      223.793
       0.320        0.000        3.887      223.793
       0.332       85.600        3.895      223.793
       0.344        0.000        3.895      223.793
       0.356        0.000        6.047      447.586
       0.368        0.000        3.922      223.793
       0.380        0.000        3.922      223.793
       0.392        0.000        7.512      449.316
       0.404       83.800        3.930      223.793
       0.416        0.000        3.941      223.793
       0.428        0.000        3.953      223.922
       0.440        0.000        6.125      447.844
       0.452        0.000        3.973      223.922
       0.464        0.000        7.273      449.445
       0.476       82.700        3.977      223.922
       0.488        0.000        3.980      223.922
       0.501        0.000        3.992      223.922
       0.513       80.600        4.000      223.922
       0.525        0.000        9.719      162.723
       0.538       77.900       89.719      162.723
       0.551      154.000      135.719      162.723
       0.564       77.900      135.719      162.723
       0.576       80.000      135.719      162.723
       0.589       80.600      135.719      162.723
       0.601      161.700      135.719      162.723
       0.613       81.500      135.719      162.723
       0.626       81.300      135.719      162.723
       0.639       74.900      135.719      162.723
       0.651       79.700      135.719      162.723
       0.664      164.000      135.719      162.723
       0.676       82.200      135.719      162.723
       0.689       79.000      135.719      162.723
       0.701       79.300      135.719      162.723
       0.714      158.200      135.719      162.723
       0.726       82.500      135.719      162.723
       0.738       80.600      135.719      162.723
       0.751       79.600      135.719      162.723
       0.763       79.800      135.719      162.723
       0.776      159.800      183.727      290.727
       0.789      147.800      263.723      290.727
       0.802       80.600      263.723      290.727
       0.814       79.600      263.723      290.727
