# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        3.270      223.566
       0.011        0.000        3.613      223.566
       0.022        0.000        5.805      447.328
       0.033       91.500        3.734      223.664
       0.043        0.000       11.812     1116.234
       0.055        0.000       10.254      894.656
       0.066        0.000        6.160      447.738
       0.078        0.000        5.270      445.590
       0.089        0.000        8.082      670.992
       0.100        0.000        6.492      449.668
       0.112        0.000        3.742      223.664
       0.123        0.000        8.543      673.332
       0.135        0.000        5.227      445.223
       0.146        0.000        5.934      447.730
       0.158        0.000        5.918      447.328
       0.170        0.000        3.746      223.664
       0.182        0.000        8.098      670.992
       0.194        0.000        3.746      223.664
       0.206        0.000        3.758      223.664
       0.217        0.000        5.973      447.586
       0.229       84.800        3.785      223.793
       0.241        0.000        3.816      223.793
       0.253        0.000        6.625      448.340
       0.265        0.000        3.824      223.793
       0.278        0.000        7.078      449.316
       0.290       83.300        3.824      223.793
       0.301        0.000        3.824      223.793
       0.313        0.000        3.832      223.793
       0.325       81.900        3.832      223.793
       0.337        0.000        3.840      223.793
       0.350        0.000        3.840      223.793
       0.362        0.000        7.520      449.316
       0.374        0.000        3.871      223.793
       0.386        0.000        3.871      223.793
       0.398       83.900        3.871      223.793
       0.410        0.000        3.875      223.793
       0.423        0.000        3.879      223.793
       0.435        0.000        3.898      223.922
       0.447        0.000        3.902      223.922
       0.460        0.000        3.914      223.922
       0.473       81.000        3.922      223.922
       0.485        0.000        3.922      223.922
       0.498        0.000        3.922      223.922
       0.510        0.000        3.922      223.922
       0.523       78.200        3.945      223.922
       0.535        0.000        3.949      223.922
       0.547       79.100        9.738       71.422
       0.560      161.200       10.191       72.375
       0.572      162.300       10.855       73.039
       0.585      162.000       11.508       73.691
       0.597       80.600       16.777      114.426
       0.609      162.400       17.031      114.422
       0.622       80.000       17.059      114.414
       0.634       81.100       17.051      114.402
       0.647       80.900       17.031      114.375
       0.659      162.300       17.000      114.332
       0.671      162.700       16.957      114.270
       0.683      161.600       16.906      114.195
       0.696       81.000       16.832      114.090
       0.709       78.900       16.754      114.105
       0.721      162.700       16.660      113.973
