# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.758       36.785
       0.100      139.500       35.156      387.832
       0.201      129.600       35.707      387.832
       0.301       99.700       35.707      387.832
       0.401       99.700       35.707      387.832
       0.502       99.700       35.707      387.832
       0.602       99.700       35.707      387.832
       0.702      109.600       35.707      387.832
       0.803       89.700       35.707      387.832
       0.903      109.600       35.707      387.832
       1.003       99.400       35.707      387.832
       1.104       99.500       35.707      387.832
       1.204      109.600       35.707      387.832
       1.305       99.700       35.707      387.832
       1.405       99.700       35.707      387.832
       1.506       99.700       35.707      387.832
       1.606       99.700       35.707      387.832
       1.706       99.700       35.707      387.832
       1.807       99.700       35.711      387.832
