# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       21.312      341.402
       0.108      156.700       33.188      385.508
       0.219       99.900       34.598      386.918
       0.328      100.100       34.598      386.918
       0.438      100.600       34.598      386.918
       0.547      100.300       34.598      386.918
       0.658       99.300       34.598      386.918
       0.768       91.400       34.598      386.918
       0.877      100.400       34.598      386.918
       0.987      100.800       34.598      386.918
       1.096      100.700       34.598      386.918
       1.204      110.500       34.598      386.918
       1.314      100.400       34.598      386.918
       1.424      100.400       34.598      386.918
       1.533      100.600       34.598      386.918
       1.642      100.600       34.598      386.918
       1.752      100.600       34.598      386.918
       1.861      100.800       34.598      386.918
       1.970      100.800       34.598      386.918
       2.079      109.900       34.598      386.918
       2.188      100.900       34.598      386.918
       2.298       99.500       26.695      378.891
       2.408      100.400       26.695      378.891
       2.517      100.600       26.695      378.891
       2.627      100.800       26.695      378.891
       2.735      101.000       26.695      378.891
       2.845      100.300       26.695      378.891
       2.955      100.500       26.695      378.891
       3.064      101.000       26.695      378.891
       3.173      100.900       26.695      378.891
