# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       20.152      341.402
       0.109      155.800       32.844      385.227
       0.219      109.600       34.535      386.918
       0.330       98.700       34.535      386.918
       0.439      101.200       34.535      386.918
       0.549       99.800       34.535      386.918
       0.659      100.200       34.535      386.918
       0.770       98.800       34.535      386.918
       0.880      100.200       34.535      386.918
       0.989      100.500       34.535      386.918
       1.099      100.800       34.535      386.918
       1.208      109.900       34.535      386.918
       1.318      100.000       34.535      386.918
       1.427      100.500       34.535      386.918
       1.537      100.400       34.535      386.918
       1.646      100.500       34.535      386.918
       1.755      110.100       34.535      386.918
       1.864      100.600       34.535      386.918
       1.974      100.700       34.535      386.918
       2.082      101.100       34.535      386.918
       2.191      100.900       34.535      386.918
       2.301      100.700       34.535      386.918
       2.410      100.900       26.633      378.891
       2.518      101.500       26.633      378.891
       2.627      101.000       26.633      378.891
       2.736       91.500       26.633      378.891
       2.846      100.300       26.633      378.891
       2.955      100.600       26.633      378.891
       3.065      100.200       26.633      378.891
       3.174      110.000       26.633      378.891
