# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        9.453       37.789
       0.100       99.700      139.500      166.785
       0.201       99.600      139.500      166.785
       0.301       99.700      139.500      166.785
       0.401       99.700      139.500      166.785
       0.502       99.600      139.500      166.785
       0.602       89.500      139.500      166.785
       0.703       99.600      139.500      166.785
       0.803       99.700      139.500      166.785
       0.903       99.700      139.500      166.785
       1.004       99.700      139.500      166.785
       1.104       99.700      139.500      166.785
       1.204       99.600      139.500      166.785
       1.305       99.600      139.500      166.785
       1.405       99.600      139.500      166.785
