# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       21.715       72.609
       0.109      396.100       25.422       76.348
       0.218      100.900       25.422       76.348
       0.327      100.300       25.422       76.348
       0.437      100.700       25.422       76.348
       0.546      100.500       25.422       76.348
       0.655       91.500       25.422       76.348
       0.765      100.300       25.422       76.348
       0.874      100.900       25.422       76.348
       0.985      216.900       25.422       76.348
       1.095      109.000       25.422       76.348
       1.205      100.100       25.422       76.348
       1.314      100.600       25.422       76.348
       1.423       91.400       25.422       76.348
       1.533      165.000       25.422       76.348
       1.642      100.700       25.422       76.348
       1.751       91.700       25.422       76.348
       1.860      100.600       25.422       76.348
       1.969      137.400       25.422       76.348
       2.079      100.600       25.422       76.348
       2.188      100.800       25.422       76.348
       2.297      128.200       25.422       76.348
       2.406      101.100       25.422       76.348
       2.515       91.600       25.422       76.348
       2.624      119.000       25.422       76.348
       2.733      100.800       25.422       76.348
       2.842      119.200       25.422       76.348
       2.952       91.500       25.422       76.348
       3.061      101.100       25.422       76.348
       3.170      118.700       25.422       76.348
       3.279      101.100       25.422       76.348
       3.388      110.000       25.422       76.348
       3.497      100.600       25.422       76.348
       3.607      109.600       25.422       76.348
       3.716      100.500       25.422       76.348
       3.826      118.700       25.422       76.348
       3.934      101.500       25.422       76.348
       4.044      109.700       25.422       76.348
       4.152      119.500       25.422       76.348
       4.262       91.600       25.422       76.348
       4.371      118.500       25.422       76.348
       4.480      128.200       25.422       76.348
       4.589      156.700       25.422       76.348
       4.699      164.200       25.422       76.348
       4.809      154.600       25.422       76.348
       4.918      155.800       25.422       76.348
       5.027      146.300       25.422       76.348
       5.136      164.500       25.422       76.348
       5.246      173.900       25.422       76.348
       5.355      292.200       25.422       76.348
       5.464      320.500       25.422       76.348
       5.574      347.300       25.422       76.348
       5.682      249.500       25.422       76.348
