# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       58.727      298.805
       0.110       90.600      271.578      298.801
       0.220      109.300      271.578      298.801
       0.330      100.500      271.578      298.801
       0.441       99.200      271.578      298.801
       0.551       99.600      271.578      298.801
       0.661      100.200      271.578      298.801
       0.770      100.300      271.578      298.801
       0.880      100.300      271.578      298.801
       0.990      100.200      271.578      298.801
       1.100      100.300      271.578      298.801
       1.209       91.100      271.578      298.801
       1.319      100.400      271.578      298.801
       1.428      100.300      271.578      298.801
       1.537      101.200      271.578      298.801
       1.648       99.800      271.578      298.801
       1.758       99.600      271.578      298.801
       1.868      100.300      271.578      298.801
       1.978       99.700      271.578      298.801
       2.088      100.000      271.578      298.801
       2.198      100.200      271.578      298.801
       2.308      100.200      271.578      298.801
       2.418      100.000      271.578      298.801
       2.528      100.100      271.578      298.801
       2.638       99.900      271.578      298.801
       2.747       91.200      271.578      298.801
