# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.883       37.789
       0.100       99.500      271.684      298.789
       0.201       99.500      271.555      298.785
       0.301       99.600      271.555      298.785
       0.402       99.700      271.555      298.785
       0.502       99.700      271.555      298.785
       0.603       99.600      271.555      298.785
       0.703       99.700      271.555      298.785
       0.803       99.700      271.555      298.785
       0.904       99.700      271.555      298.785
       1.004       99.700      271.555      298.785
       1.104       99.700      271.555      298.785
       1.205       99.700      271.555      298.785
       1.305       99.700      271.555      298.785
       1.405       99.700      271.555      298.785
       1.506       99.600      271.555      298.785
       1.606       99.600      271.555      298.785
       1.706       99.700      271.555      298.785
       1.807       99.700      271.555      298.785
       1.907       99.700      271.555      298.785
       2.007       99.700      271.555      298.785
       2.108       99.700      271.555      298.785
       2.208       99.700      271.555      298.785
       2.308       99.700      271.555      298.785
       2.409       99.700      271.555      298.785
       2.509       99.700      271.555      298.785
       2.609       99.600      271.555      298.785
       2.710       99.600      271.555      298.785
       2.810       99.600      271.555      298.785
       2.910       99.700      271.555      298.785
       3.011       99.600      271.555      298.785
