# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.281       35.785
       0.100      139.400       30.078      349.398
       0.201      169.300       71.992      391.016
       0.301      169.500       92.191      442.422
       0.402      139.400       92.332      442.422
       0.502      129.500       92.336      442.422
       0.602      109.700       92.336      442.422
       0.703       99.700       92.336      442.422
       0.803       99.600       92.336      442.422
       0.903       99.700       92.336      442.422
       1.004       99.700       92.336      442.422
       1.104       99.800       92.336      442.422
       1.204       99.700       92.336      442.422
       1.305       99.400       92.336      442.422
       1.405       99.700       92.336      442.422
       1.505       99.700       92.336      442.422
       1.606       99.700       92.336      442.422
       1.706       99.700       92.336      442.422
       1.806       99.700       92.336      442.422
       1.907       99.700       92.336      442.422
       2.007       99.700       92.336      442.422
       2.107       99.700       92.336      442.422
       2.207       99.700       92.336      442.422
       2.308       99.700       92.336      442.422
       2.408       99.700       92.336      442.422
       2.508       99.700       92.336      442.422
       2.609      129.600       92.340      442.422
       2.709      109.700       92.344      442.422
       2.809       99.800       92.344      442.422
       2.909       99.800       92.344      442.422
       3.010       99.700       92.344      442.422
       3.110       99.700       92.344      442.422
       3.210       99.700       92.344      442.422
       3.310       99.800       92.344      442.422
       3.411       99.700       92.344      442.422
       3.511       99.700       92.344      442.422
       3.611       99.700       92.344      442.422
       3.711       99.700       92.344      442.422
       3.812      119.700       92.344      442.422
       3.912       99.700       92.344      442.422
       4.012       99.700       92.344      442.422
       4.113       99.600       92.344      442.422
       4.213       99.800       92.344      442.422
       4.313       99.700       92.344      442.422
       4.413      109.700       92.344      442.422
       4.514       99.700       92.344      442.422
       4.614       99.800       92.344      442.422
       4.714       89.800       92.344      442.422
       4.814      109.800       92.348      442.422
       4.915       99.700       92.348      442.422
       5.015       99.700       92.348      442.422
       5.115       99.700       92.348      442.422
       5.215       99.800       92.348      442.422
       5.316       99.800       92.348      442.422
       5.416       99.800       92.348      442.422
       5.516       99.700       92.348      442.422
       5.616       99.800       92.348      442.422
       5.717       99.800       92.348      442.422
       5.817       99.800       92.348      442.422
       5.917       99.800       92.348      442.422
       6.017       99.800       92.355      442.422
       6.118       99.700       92.355      442.422
       6.218       99.800       92.355      442.422
       6.318       99.800       92.355      442.422
       6.418       99.800       92.355      442.422
       6.518       99.800       92.355      442.422
       6.619       99.800       92.355      442.422
       6.719       99.700       92.355      442.422
       6.819      109.700       92.355      442.422
       6.919       99.800       92.355      442.422
