# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        7.883       35.301
       0.100      129.600       27.938      349.414
       0.201      179.400       68.891      388.074
       0.301      169.500       91.684      442.438
       0.401      129.600       92.238      442.438
       0.502      139.500       92.242      442.438
       0.602      119.600       92.246      442.438
       0.702       89.700       92.246      442.438
       0.803       99.700       92.246      442.438
       0.903       99.700       92.246      442.438
       1.003       99.700       92.246      442.438
       1.104       99.600       92.246      442.438
       1.204       99.600       92.246      442.438
       1.304       99.700       92.246      442.438
       1.405       99.700       92.246      442.438
       1.505       99.700       92.246      442.438
       1.605       99.700       92.246      442.438
       1.706       99.700       92.246      442.438
       1.806       99.700       92.246      442.438
       1.906       99.700       92.246      442.438
       2.007       99.700       92.246      442.438
       2.107       99.700       92.246      442.438
       2.207       99.600       92.246      442.438
       2.308       99.500       92.246      442.438
       2.408       99.700       92.246      442.438
       2.508       99.700       92.246      442.438
       2.609      119.600       92.250      442.438
       2.709      119.600       92.250      442.438
       2.809       99.700       92.250      442.438
       2.910       99.700       92.250      442.438
       3.010       99.700       92.250      442.438
       3.110       99.700       92.250      442.438
       3.211       99.700       92.250      442.438
       3.311       99.700       92.250      442.438
       3.411       99.700       92.250      442.438
       3.512       99.700       92.250      442.438
       3.612       99.700       92.250      442.438
       3.712       99.700       92.250      442.438
       3.813      119.600       92.250      442.438
       3.913       99.700       92.250      442.438
       4.013       99.700       92.250      442.438
       4.114       99.700       92.250      442.438
       4.214       99.700       92.250      442.438
       4.314       99.700       92.250      442.438
       4.414      109.700       92.254      442.438
       4.515       99.700       92.254      442.438
       4.615       99.700       92.254      442.438
       4.715       99.700       92.254      442.438
       4.816       99.700       92.254      442.438
       4.916       99.700       92.254      442.438
       5.016       99.700       92.254      442.438
       5.117       99.700       92.254      442.438
       5.217       99.700       92.254      442.438
       5.317       99.700       92.254      442.438
       5.418      109.600       92.254      442.438
       5.518       99.700       92.254      442.438
       5.618       89.700       92.254      442.438
       5.719      109.700       92.254      442.438
       5.819       89.700       92.254      442.438
       5.919       99.700       92.262      442.438
       6.020       99.700       92.262      442.438
       6.120       99.700       92.262      442.438
       6.220       99.700       92.262      442.438
       6.321       99.700       92.262      442.438
       6.421       99.700       92.262      442.438
       6.521      109.700       92.262      442.438
       6.621       99.700       92.262      442.438
       6.722       99.700       92.262      442.438
       6.822       99.700       92.262      442.438
       6.922       99.700       92.262      442.438
