# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.156       36.289
       0.100       99.600      271.680      298.789
       0.201       99.600      271.551      298.785
       0.301       99.600      271.551      298.785
       0.402       99.600      271.551      298.785
       0.502       99.700      271.551      298.785
       0.602       89.700      271.551      298.785
       0.703      109.600      271.551      298.785
       0.803       99.700      271.551      298.785
       0.903       89.700      271.551      298.785
       1.004      109.600      271.551      298.785
       1.104       89.700      271.551      298.785
       1.204      109.600      271.551      298.785
       1.305       99.600      271.551      298.785
       1.405       89.600      271.551      298.785
       1.506      109.500      271.551      298.785
       1.606       89.700      271.551      298.785
       1.706      109.600      271.551      298.785
       1.807       89.700      271.551      298.785
       1.907       99.600      271.551      298.785
       2.007      109.600      271.551      298.785
       2.108       89.700      271.551      298.785
       2.208       99.700      271.551      298.785
       2.308       99.700      271.551      298.785
       2.409       99.700      271.551      298.785
       2.509       99.600      271.551      298.785
       2.610       99.600      271.551      298.785
       2.710       99.400      271.551      298.785
       2.811       99.500      271.551      298.785
       2.911       99.600      271.551      298.785
