# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.895       37.809
       0.101       99.700      279.543      306.809
       0.201       99.600      271.539      298.805
       0.301       99.700      271.539      298.805
       0.402       99.600      271.539      298.805
       0.502       99.600      271.539      298.805
       0.602       99.500      271.539      298.805
       0.703       99.600      271.539      298.805
       0.803       99.600      271.539      298.805
       0.904       99.700      271.539      298.805
       1.004       99.700      271.539      298.805
       1.104       99.600      271.539      298.805
       1.205       99.600      271.539      298.805
       1.305       99.600      271.539      298.805
       1.405       99.600      271.539      298.805
       1.506       99.600      271.539      298.805
       1.606       99.600      271.539      298.805
       1.707       99.600      271.539      298.805
       1.807       99.700      271.539      298.805
       1.907       99.700      271.539      298.805
       2.008       89.700      271.539      298.805
       2.108       99.700      271.539      298.805
       2.208       99.600      271.539      298.805
       2.309       99.500      271.539      298.805
       2.409       99.600      271.539      298.805
       2.510       99.700      271.539      298.805
       2.610       99.600      271.539      298.805
       2.710       99.600      271.539      298.805
       2.811       99.600      271.539      298.805
       2.911       99.700      271.539      298.805
       3.012       99.300      271.539      298.805
