# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       71.621       98.730
       0.109      146.800       77.875      173.289
       0.220      126.000       79.293      174.789
       0.331      117.600       82.656      178.090
       0.442      126.200       81.699      177.133
       0.552      126.200       82.176      177.609
       0.665      133.900       79.914      175.223
       0.774      127.600       79.699      175.512
       0.884      118.000       82.078      178.340
       0.994      127.300       82.906      178.340
       1.104      127.400       82.906      178.340
       1.215      135.200       83.031      178.340
       1.326      135.600       81.477      176.910
       1.437      116.500       80.645      175.953
       1.550      133.300       80.043      175.477
       1.662      125.500       80.996      176.430
       1.773      134.000       80.645      175.953
       1.885      125.100       80.996      176.430
       1.996      126.000       82.430      177.863
       2.107      135.200       82.430      177.863
       2.218      127.000       82.078      177.387
       2.327      127.800       82.430      177.863
       2.437      136.300       81.602      176.910
       2.547      127.400       82.906      178.340
       2.657      127.900       82.906      178.340
       2.767      127.200       83.508      178.816
       2.877      136.100       81.953      177.387
       2.987      126.800       82.430      177.863
       3.098      135.600       83.859      179.293
       3.209      126.300       85.289      180.723
       3.319      135.800       83.383      178.816
       3.430      126.400       84.336      179.770
       3.542      125.300       83.508      178.816
       3.652      136.400       84.336      179.770
       3.762      127.400       83.031      178.340
       3.872      127.000       83.383      178.816
       3.982      145.200       81.602      176.910
       4.092      144.900       81.953      177.387
       4.202      146.100       81.953      177.387
       4.311      137.000       82.430      177.863
       4.422      153.200       82.430      177.863
       4.532      136.800       81.477      176.910
       4.641      137.400       81.953      177.387
       4.751      144.800       81.949      177.383
       4.861      136.400       82.898      178.332
       4.971      155.800       82.887      178.320
       5.082      134.700       82.887      178.320
       5.192      135.700       83.359      178.793
       5.302      145.900       83.004      178.312
       5.412      145.000       83.355      178.789
       5.522      137.300       84.305      179.738
       5.632      154.600       85.258      180.691
       5.742      136.000       84.305      179.738
       5.851      137.500       83.828      179.262
       5.961      155.100       84.305      179.738
       6.070      145.700       83.832      179.266
       6.182      134.700       85.258      180.691
       6.292      153.700       84.781      180.215
       6.402      145.500       84.781      180.215
       6.513      136.100       84.785      180.219
       6.622      146.200       83.953      179.262
       6.733      144.600       83.828      179.262
       6.846      132.000       83.828      179.262
       6.956      146.000       84.305      179.738
       7.066      145.100       84.781      180.215
       7.176      145.600       83.477      178.785
       7.287      135.400       83.828      179.262
       7.398      143.400       83.828      179.262
       7.509      145.400       83.348      178.781
       7.619      145.000       83.828      179.262
       7.729      136.100       82.875      178.309
       7.840      152.500       84.309      179.742
       7.951      144.600       85.258      180.691
       8.062      135.200       83.828      179.262
       8.172      135.900       83.828      179.262
       8.283      144.500       84.305      179.738
       8.393      145.400       83.352      178.785
       8.505      143.300       84.305      179.738
       8.615      136.300       83.477      178.785
       8.726      135.500       83.824      179.258
       8.836      135.700       85.258      180.691
       8.947      144.500       85.262      180.695
       9.057      127.100       85.262      180.695
       9.169      133.500       84.906      180.215
       9.280      135.800       84.781      180.215
       9.392      134.000       84.305      179.738
       9.502      135.900       85.258      180.691
       9.612      137.000       84.430      179.738
       9.722      136.000       84.781      180.215
       9.832      145.700       83.828      179.262
       9.941      136.800       83.828      179.262
