# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.801       38.625
       0.100       99.600       74.867      100.629
       0.201       89.600       43.672      100.629
       0.301      109.600       74.867      100.629
       0.402       99.700       74.867      100.629
       0.502       99.700       74.867      100.629
       0.602       99.600       74.867      100.629
       0.703       99.600       74.867      100.629
       0.803       89.600       68.391      100.629
       0.904      109.600       74.867      100.629
       1.004       89.700       74.867      100.629
       1.104      109.500       60.391      100.629
       1.205       99.600       74.867      100.629
       1.305       99.600       50.391      100.629
       1.406       89.700       46.391      100.629
       1.506       99.600       74.867      100.629
       1.606       99.700       74.867      100.629
       1.707      109.600       60.391      100.629
       1.807       89.600       44.391      100.629
       1.907      109.600       60.391      100.629
       2.008       89.600       50.391      100.629
       2.108      109.500       64.391      100.629
       2.209       99.600       74.867      100.629
       2.309       99.500       56.391      100.629
       2.410       89.700       74.867      100.629
       2.510       99.700       74.867      100.629
       2.610       99.600       44.102      100.629
       2.711       99.700       74.867      100.629
       2.811      109.600       62.391      100.629
       2.911       89.600       50.391      100.629
       3.012      109.600       74.867      100.629
       3.112       99.600       72.391      100.629
       3.213       89.600       52.391      100.629
