run_id,qubits,workload,family,strategy,marked_states,zfp_mode,zfp_precision,chunk_states,cache_slots,nthreads,exit_code,time_sec,max_memory_mb,measured_state,stdout_path,stderr_path,profile_path,command,accuracy_kind,bitwise_equal,max_abs_amplitude_error,max_abs_component_error,rel_l2,rmse_amplitude,max_abs_probability_error,total_probability_diff,worst_state
q20_qft_pattern_dense,20,qft_pattern,qft,dense,,,,,,,0,0.000000,14.910000,720896,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_pattern_dense.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_pattern_dense.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_qft_pattern_dense.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/qftG 20 --input-family pattern --strategy dense,reference,true,0,0,0,0,0,0,0
q20_qft_pattern_blosc,20,qft_pattern,qft,blosc,,,,32768,8,4,0,0.000000,7.555000,720896,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_pattern_blosc.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_pattern_blosc.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_qft_pattern_blosc.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/qftG 20 --input-family pattern --strategy blosc --chunk-states 32768 --cache-slots 8 --clevel 1 --nthreads 4,lossless,true,0,0,0,0,0,0,0
q20_qft_pattern_zfp,20,qft_pattern,qft,zfp,,FixedPrecision,40,32768,8,4,0,0.000000,6.352000,262144,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_pattern_zfp.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_pattern_zfp.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_qft_pattern_zfp.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/qftG 20 --input-family pattern --strategy zfp --zfp-mode precision --zfp-precision 40 --zfp-chunk-states 32768 --zfp-cache-slots 8 --nthreads 4,lossy,false,3.7857887661870836e-11,3.4901859180536121e-11,1.3339405920315035e-10,1.3026763594057631e-13,1.9151472074874221e-11,4.8516746176119341e-11,462848
q20_qft_high_entropy_dense,20,qft_high_entropy,qft,dense,,,,,,,0,0.000000,20.102000,4420,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_high_entropy_dense.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_high_entropy_dense.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_qft_high_entropy_dense.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/qftG 20 --input-family random-phase --strategy dense,reference,true,0,0,0,0,0,0,0
q20_qft_high_entropy_blosc,20,qft_high_entropy,qft,blosc,,,,32768,8,4,0,1.000000,50.188000,626036,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_high_entropy_blosc.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_high_entropy_blosc.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_qft_high_entropy_blosc.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/qftG 20 --input-family random-phase --strategy blosc --chunk-states 32768 --cache-slots 8 --clevel 1 --nthreads 4,lossless,true,0,0,0,0,0,0,0
q20_qft_high_entropy_zfp,20,qft_high_entropy,qft,zfp,,FixedPrecision,40,32768,8,4,0,17.005000,35.211000,365817,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_high_entropy_zfp.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_qft_high_entropy_zfp.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_qft_high_entropy_zfp.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/qftG 20 --input-family random-phase --strategy zfp --zfp-mode precision --zfp-precision 40 --zfp-chunk-states 32768 --zfp-cache-slots 8 --nthreads 4,lossy,false,3.2897444833796121e-11,2.9484206200657004e-11,2.6167049741690369e-10,2.5553759513369153e-13,4.6367034577744813e-14,3.3784086639343514e-13,526337
q20_grover_single_n8_dense,20,grover_single_n8,grover,dense,131072,,,,,,0,0.000000,20.297000,131072,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_grover_single_n8_dense.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_grover_single_n8_dense.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_grover_single_n8_dense.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/grover 20 131072 --strategy dense,reference,true,0,0,0,0,0,0,0
q20_grover_single_n8_blosc,20,grover_single_n8,grover,blosc,131072,,,32768,8,4,0,3.001000,11.254000,131072,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_grover_single_n8_blosc.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_grover_single_n8_blosc.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_grover_single_n8_blosc.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/grover 20 131072 --strategy blosc --chunk-states 32768 --cache-slots 8 --clevel 1 --nthreads 4,lossless,true,0,0,0,0,0,0,0
q20_grover_single_n8_zfp,20,grover_single_n8,grover,zfp,131072,FixedPrecision,40,32768,8,4,0,31.012000,16.598000,131072,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_grover_single_n8_zfp.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_grover_single_n8_zfp.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_grover_single_n8_zfp.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/grover 20 131072 --strategy zfp --zfp-mode precision --zfp-precision 40 --zfp-chunk-states 32768 --zfp-cache-slots 8 --nthreads 4,lossy,false,1.4707536012800484e-09,1.3799308362649754e-09,1.8238629490214721e-09,1.7811161611852015e-12,1.0176580689247317e-09,1.0176997022881551e-09,131072
q20_grover_single_n2_dense,20,grover_single_n2,grover,dense,524288,,,,,,0,0.000000,20.227000,524288,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_grover_single_n2_dense.stdout.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/logs/q20_grover_single_n2_dense.stderr.log,/home/buendiagon/buendiagon/Universidad/QSTest/results/thesis_experiments/manual-run/profiles/q20_grover_single_n2_dense.csv,/home/buendiagon/buendiagon/Universidad/QSTest/build/release/bin/grover 20 524288 --strategy dense,reference,true,0,0,0,0,0,0,0
