qubits,scenario,strategy,avg_time_sec,avg_max_memory_mb,memory_saving_percent,relative_time_x,avg_error,worst_error
20,grover_lazy_multi,blosc,0.000000,9.535000,53.264386,,0,0
20,grover_lazy_multi,dense,0.000000,20.402000,0.000000,,0,0
20,grover_lazy_multi,zfp,0.000000,9.207000,54.872071,,1.6820833968715732e-11,1.6820833968715732e-11
20,grover_lazy_single,blosc,0.000000,8.303333,59.032974,,0,0
20,grover_lazy_single,dense,0.000000,20.268333,0.000000,,0,0
20,grover_lazy_single,zfp,0.000000,9.113333,55.036592,,2.1808781335645366e-11,2.7029222854116036e-11
20,grover_multi,blosc,2.001000,11.410000,43.989004,,0,0
20,grover_multi,dense,0.000000,20.371000,0.000000,,0,0
20,grover_multi,zfp,18.006000,16.594000,18.541063,,9.0931592010897478e-10,9.0931592010897478e-10
20,grover_single,blosc,3.001000,11.302000,44.256473,,0,0
20,grover_single,dense,0.000000,20.275000,0.000000,,0,0
20,grover_single,zfp,31.344333,16.579333,18.227702,,1.2024740869442936e-09,1.4707536012800484e-09
20,qft_high_entropy,blosc,1.000000,50.188000,-149.666700,,0,0
20,qft_high_entropy,dense,0.000000,20.102000,0.000000,,0,0
20,qft_high_entropy,zfp,17.005000,35.211000,-75.161675,,3.2897444833796121e-11,3.2897444833796121e-11
20,qft_pattern,blosc,0.000000,7.555000,49.329309,,0,0
20,qft_pattern,dense,0.000000,14.910000,0.000000,,0,0
20,qft_pattern,zfp,0.000000,6.352000,57.397720,,3.7857887661870836e-11,3.7857887661870836e-11
21,grover_lazy_multi,blosc,0.000000,6.973000,80.848668,,0,0
21,grover_lazy_multi,dense,0.000000,36.410000,0.000000,,0,0
21,grover_lazy_multi,zfp,0.000000,6.969000,80.859654,,1.0677168028359113e-11,1.0677168028359113e-11
21,grover_lazy_single,blosc,0.000000,6.685000,81.602268,,0,0
21,grover_lazy_single,dense,0.000000,36.336000,0.000000,,0,0
21,grover_lazy_single,zfp,0.000000,7.005000,80.721598,,1.0600847903354231e-11,1.0600863845872655e-11
21,grover_multi,blosc,6.001000,11.453000,68.527933,,0,0
21,grover_multi,dense,0.000000,36.391000,0.000000,,0,0
21,grover_multi,zfp,53.018000,22.941000,36.959688,,3.9447711275842536e-10,3.9447711275842536e-10
21,grover_single,blosc,10.002333,11.433667,68.514150,10.002333,0,0
21,grover_single,dense,1.000000,36.313667,0.000000,1.000000,0,0
21,grover_single,zfp,89.696333,22.890667,36.964045,89.696333,1.0389608803407735e-09,1.9257936852187752e-09
21,qft_high_entropy,blosc,3.001000,78.695000,-117.629978,,0,0
21,qft_high_entropy,dense,0.000000,36.160000,0.000000,,0,0
21,qft_high_entropy,zfp,36.014000,60.930000,-68.501106,,2.6439161770001318e-11,2.6439161770001318e-11
21,qft_pattern,blosc,0.000000,7.996000,0.000000,,0,0
21,qft_pattern,dense,0.000000,7.996000,0.000000,,0,0
21,qft_pattern,zfp,1.000000,14.582000,-82.366183,,3.7857887661870836e-11,3.7857887661870836e-11
22,grover_lazy_multi,blosc,0.000000,6.949000,81.810329,,0,0
22,grover_lazy_multi,dense,0.000000,38.203000,0.000000,,0,0
22,grover_lazy_multi,zfp,0.000000,5.688000,85.111117,,1.7298963311358625e-11,1.7298963311358625e-11
22,grover_lazy_single,blosc,0.000000,6.763333,85.887868,,0,0
22,grover_lazy_single,dense,0.000000,47.925667,0.000000,,0,0
22,grover_lazy_single,zfp,0.000000,5.675667,88.157355,,3.0379075144765491e-11,3.0379075144765491e-11
22,grover_multi,blosc,17.004000,11.801000,82.760434,5.666111,0,0
22,grover_multi,dense,3.001000,68.453000,0.000000,1.000000,0,0
22,grover_multi,zfp,147.054000,35.859000,47.615152,49.001666,5.4328600099266632e-10,5.4328600099266632e-10
22,grover_single,blosc,29.007000,11.661667,82.941635,4.832084,0,0
22,grover_single,dense,6.003000,68.363333,0.000000,1.000000,0,0
22,grover_single,zfp,251.419667,35.545333,48.005266,41.882337,1.2343846557881863e-09,1.2343846557881863e-09
22,qft_high_entropy,blosc,8.003000,142.875000,-111.337919,,0,0
22,qft_high_entropy,dense,0.000000,67.605000,0.000000,,0,0
22,qft_high_entropy,zfp,80.026000,112.918000,-67.026108,,3.5324910986447846e-11,3.5324910986447846e-11
22,qft_pattern,blosc,1.000000,33.695000,-228.347301,,0,0
22,qft_pattern,dense,0.000000,10.262000,0.000000,,0,0
22,qft_pattern,zfp,3.001000,19.848000,-93.412590,,3.7857887661870836e-11,3.7857887661870836e-11
23,grover_lazy_multi,blosc,0.000000,6.977000,85.629544,,0,0
23,grover_lazy_multi,dense,0.000000,48.551000,0.000000,,0,0
23,grover_lazy_multi,zfp,1.000000,55.062000,-13.410640,,1.294648218197476e-11,1.294648218197476e-11
23,grover_lazy_single,blosc,0.000000,6.944000,84.272157,,0,0
23,grover_lazy_single,dense,0.000000,44.151000,0.000000,,0,0
23,grover_lazy_single,zfp,1.000000,54.789000,-24.094584,,1.7088351001218884e-11,1.7088351001218884e-11
23,grover_multi,blosc,48.012000,12.203000,90.795607,3.998667,0,0
23,grover_multi,dense,12.007000,132.578000,0.000000,1.000000,0,0
23,grover_multi,zfp,414.149000,60.648000,54.254854,34.492296,8.2831660422128975e-10,8.2831660422128975e-10
23,grover_single,blosc,82.020000,12.028667,90.919271,4.098951,0,0
23,grover_single,dense,20.010000,132.463667,0.000000,1.000000,0,0
23,grover_single,zfp,710.251000,60.573000,54.271989,35.494803,1.85270883275206e-09,1.85270883275206e-09
23,qft_high_entropy,blosc,17.006000,275.508000,-5.845336,8.498751,0,0
23,qft_high_entropy,dense,2.001000,260.293000,0.000000,1.000000,0,0
23,qft_high_entropy,zfp,169.060000,215.852000,17.073452,84.487756,2.8235033699442655e-11,2.8235033699442655e-11
23,qft_pattern,blosc,3.001000,41.867000,71.770425,3.001000,0,0
23,qft_pattern,dense,1.000000,148.309000,0.000000,1.000000,0,0
23,qft_pattern,zfp,6.002000,33.930000,77.122090,6.002000,3.7857887661870836e-11,3.7857887661870836e-11
24,grover_lazy_multi,blosc,1.000000,12.352000,68.983528,,0,0
24,grover_lazy_multi,dense,0.000000,39.824000,0.000000,,0,0
24,grover_lazy_multi,zfp,3.001000,111.055000,-178.864504,,1.6534892535685376e-11,1.6534892535685376e-11
24,grover_lazy_single,blosc,1.000000,12.246333,70.054936,,0,0
24,grover_lazy_single,dense,0.000000,40.896000,0.000000,,0,0
24,grover_lazy_single,zfp,3.001000,110.742000,-170.789319,,3.3461335255116674e-11,3.3461335255116674e-11
24,grover_multi,blosc,136.033000,12.855000,95.069026,3.776806,0,0
24,grover_multi,dense,36.018000,260.699000,0.000000,1.000000,0,0
24,grover_multi,zfp,1155.407000,110.785000,57.504632,32.078600,9.9099108105186371e-10,9.9099108105186371e-10
24,grover_single,blosc,231.724667,12.781333,95.094542,3.715521,0,0
24,grover_single,dense,62.366667,260.553333,0.000000,1.000000,0,0
24,grover_single,zfp,1996.714667,110.503667,57.588849,32.015735,2.57701745539809e-09,2.57701745539809e-09
24,qft_high_entropy,blosc,36.013000,529.789000,-2.611635,8.998751,0,0
24,qft_high_entropy,dense,4.002000,516.305000,0.000000,1.000000,0,0
24,qft_high_entropy,zfp,372.120000,423.359000,18.002150,92.983508,3.7881629914936849e-11,3.7881629914936849e-11
24,qft_pattern,blosc,8.002000,111.719000,61.778944,2.666445,0,0
24,qft_pattern,dense,3.001000,292.297000,0.000000,1.000000,0,0
24,qft_pattern,zfp,13.004000,62.293000,78.688457,4.333222,3.7857887661870836e-11,3.7857887661870836e-11
25,grover_lazy_multi,blosc,3.001000,13.758000,98.662893,3.001000,0,0
25,grover_lazy_multi,dense,1.000000,1028.938000,0.000000,1.000000,0,0
25,grover_lazy_multi,zfp,6.002000,210.930000,79.500223,6.002000,1.3324803480227001e-11,1.3324803480227001e-11
25,grover_lazy_single,blosc,3.001000,13.586000,98.679422,3.001000,0,0
25,grover_lazy_single,dense,1.000000,1028.791667,0.000000,1.000000,0,0
25,grover_lazy_single,zfp,6.335333,210.985333,79.491928,6.335333,7.5057706324331328e-12,7.5057706324331328e-12
25,grover_multi,blosc,383.112000,14.277000,97.237658,3.612390,0,0
25,grover_multi,dense,106.055000,516.844000,0.000000,1.000000,0,0
25,grover_multi,zfp,3304.048000,211.332000,59.111066,31.154099,1.6904185346913543e-09,1.6904185346913543e-09
25,grover_single,blosc,684.876333,14.093667,97.272523,3.290697,0,0
25,grover_single,dense,208.125000,516.729000,0.000000,1.000000,0,0
25,grover_single,zfp,5788.274000,210.793333,59.206212,27.811527,3.2119469233405079e-09,3.2119469233405079e-09
25,qft_high_entropy,blosc,77.028000,1047.184000,-1.823556,7.699720,0,0
25,qft_high_entropy,dense,10.004000,1028.430000,0.000000,1.000000,0,0
25,qft_high_entropy,zfp,783.276000,833.914000,18.913878,78.296281,3.0076427993369502e-11,3.0076427993369502e-11
25,qft_pattern,blosc,17.005000,133.438000,75.665764,2.833222,0,0
25,qft_pattern,dense,6.002000,548.355000,0.000000,1.000000,0,0
25,qft_pattern,zfp,30.008000,90.520000,83.492446,4.999667,3.7857887661870836e-11,3.7857887661870836e-11
26,qft_pattern,blosc,38.011000,371.027000,66.034459,2.714102,0,0
26,qft_pattern,dense,14.005000,1092.363000,0.000000,1.000000,0,0
26,qft_pattern,zfp,63.019000,171.762000,84.276106,4.499750,3.7857887661870836e-11,3.7857887661870836e-11
