circuit,scenario,qubits,error_for_table,worst_instance_error,rel_l2,rmse_amplitude,max_abs_probability_error,total_probability_diff
Grover,Objetivo unico (promedio N/8, N/2, 7N/8),18,0,0,0,0,0,0
Grover,Multiobjetivo,18,0,0,0,0,0,0
QFT,Superposicion periodica,18,3.3548670632496281e-12,3.3548670632496281e-12,8.1764340075141418e-12,1.5969597670926036e-14,1.5415446696920299e-12,4.1966430330830917e-12
QFT,Alta entropia,18,1.7804248407258254e-12,1.7804248407258254e-12,7.0769112086643173e-12,1.3822092204422536e-14,5.7214208380501532e-15,1.1102230246251565e-15
Grover,Objetivo unico (promedio N/8, N/2, 7N/8),19,4.4465610941818403e-14,4.4467775157718547e-14,2.2660451057859252e-11,3.1295622280833317e-14,7.4014868308343763e-16,1.2582527612418439e-15
Grover,Multiobjetivo,19,4.4469947421599335e-14,4.4469947421599335e-14,2.282355200369741e-11,3.1520875766818839e-14,1.4432899320127035e-15,3.9968028886505635e-15
QFT,Superposicion periodica,19,3.7857887661870836e-11,3.7857887661870836e-11,1.3339401778990235e-10,1.8422620029093512e-13,1.9151388808147374e-11,4.8516746176119341e-11
QFT,Alta entropia,19,2.4494741124667289e-11,2.4494741124667289e-11,2.5767069196754682e-10,3.5586072969390891e-13,1.3359278452625221e-13,1.971756091734278e-13
Grover,Objetivo unico (promedio N/8, N/2, 7N/8),20,3.2180663063881176e-14,3.218243595316821e-14,2.5348792486545865e-11,2.4754680162892101e-14,5.9211894646675012e-16,1.2582527612418439e-15
Grover,Multiobjetivo,20,3.2187869708983934e-14,3.2187869708983934e-14,2.5419392673424098e-11,2.4823625657862786e-14,1.6653345369377348e-15,3.3306690738754696e-15
QFT,Superposicion periodica,20,3.7857887661870836e-11,3.7857887661870836e-11,1.3339404927594884e-10,1.3026762624604357e-13,1.9151472074874221e-11,4.8517190265329191e-11
QFT,Alta entropia,20,3.2897445049278771e-11,3.2897445049278771e-11,2.6167679349598781e-10,2.5554374364842216e-13,4.6366589038414558e-14,3.5405012255296242e-13
